,result,gain,entry_time,start_price,stop_loss,take_profit
0,loss,-0.26%,2024-06-16 20:30:00,3636.38,3616.51,3655.38
1,win,0.35%,2024-06-17 01:40:00,3588.2,3575.6,0.0
2,win,0.32%,2024-06-17 03:40:00,3554.4,3564.8,3543.0
3,loss,-0.01%,2024-06-17 07:35:00,3527.4,3545.88,3500.0
4,win,0.47%,2024-06-17 09:30:00,3516.7,3500.2,0.0
5,win,0.11%,2024-06-17 15:01:00,3556.64,3569.2,3545.0
6,win,0.86%,2024-06-17 15:50:00,3550.51,3566.38,3520.0
7,loss,-0.28%,2024-06-17 16:05:00,3513.86,3523.6,0.0
8,loss,-0.16%,2024-06-17 18:25:00,3520.63,3533.59,3507.0
9,win,0.18%,2024-06-17 18:50:00,3521.88,3515.46,0.0
10,loss,-0.42%,2024-06-17 21:00:00,3475.2,3460.65,3500.2
11,loss,-0.17%,2024-06-18 02:05:00,3451.0,3423.97,3481.0
12,loss,-0.28%,2024-06-18 12:20:00,3416.0,3395.31,3436.0
13,loss,-0.02%,2024-06-19 07:30:00,3531.89,3540.9,0.0
14,win,0.38%,2024-06-19 21:35:00,3568.64,3581.54,3555.0
15,loss,-0.14%,2024-06-19 22:30:00,3554.01,3549.09,3570.01
16,loss,-0.33%,2024-06-20 08:50:00,3597.05,3585.35,3615.05
17,loss,-0.17%,2024-06-20 23:55:00,3501.2,3515.01,3485.0

